"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.806803803E2,3.053770696E1,1.143564112E2,2.253354635E1,8.378444070E-1,2.013588553E2,1.422547922E1,1.010230540E1
1.816803514E2,3.053770243E1,1.143564117E2,2.262953572E1,5.520011697E-1,1.976680520E2,1.422599679E1,1.010157654E1
1.826803247E2,3.053769490E1,1.143564107E2,2.225316509E1,6.073618438E-1,1.953762267E2,1.422594343E1,1.010165169E1
1.836802963E2,3.053768559E1,1.143564091E2,2.264453683E1,7.816378477E-1,1.949326888E2,1.422559804E1,1.010213807E1
1.846802694E2,3.053767839E1,1.143564087E2,2.318663394E1,6.249507910E-1,1.925024629E2,1.422517204E1,1.010273793E1
1.856802422E2,3.053767074E1,1.143564077E2,2.343253709E1,7.347066538E-1,1.918962188E2,1.422473726E1,1.010335009E1
1.866802142E2,3.053766329E1,1.143564070E2,2.345103628E1,7.517519658E-1,1.910806853E2,1.422471895E1,1.010337587E1
1.876801866E2,3.053765751E1,1.143564023E2,2.342166805E1,7.016283922E-1,1.940566371E2,1.422439820E1,1.010382745E1
1.886801598E2,3.053765141E1,1.143564009E2,2.338825884E1,6.902016784E-1,1.924239194E2,1.422435672E1,1.010388585E1
1.896801325E2,3.053764224E1,1.143564023E2,2.332679013E1,8.202447542E-1,1.879067307E2,1.422377954E1,1.010469836E1
1.906801053E2,3.053763657E1,1.143563986E2,2.322143249E1,7.949264621E-1,1.902334690E2,1.422358301E1,1.010497500E1
1.916800777E2,3.053763125E1,1.143563989E2,2.288953158E1,7.156425207E-1,1.892051463E2,1.422367335E1,1.010484783E1
1.926800507E2,3.053762450E1,1.143563945E2,2.305264646E1,7.223033257E-1,1.926980668E2,1.422387058E1,1.010457021E1
1.936800240E2,3.053761850E1,1.143563908E2,2.321320502E1,7.047831206E-1,1.945163153E2,1.422443154E1,1.010378051E1
